Language,Subject,Grapheme,L,u,v,BerlinKay
Spanish,11419,A,56.1775261736128,132.048325737302,-23.9175680810904,Pink
Spanish,11419,B,32.2407492302177,-9.66059513497557,-130.192966276681,Blue
Spanish,11419,C,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Spanish,11419,D,72.530001127448,-63.406486809027,81.0861247254546,Green
Spanish,11419,E,50.5362298747847,-43.4481810680305,55.5628423285373,Green
Spanish,11419,F,72.530001127448,-63.406486809027,81.0861247254546,Green
Spanish,11419,G,74.0356886849374,62.2836317410236,51.4621827161791,Brown
Spanish,11419,H,53.484183785248,175.364684555026,37.8001664225153,Red
Spanish,11419,I,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,J,53.5173238075761,83.4072041773838,17.9785696689262,Pink
Spanish,11419,K,65.6311195710751,91.641797315471507,-27.1585445832652,Pink
Spanish,11419,L,32.2407492302177,-9.66059513497557,-130.192966276681,Blue
Spanish,11419,M,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,N,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,O,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,P,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,Q,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,R,53.484183785248,175.364684555026,37.8001664225153,Red
Spanish,11419,S,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,T,39.2828741443653,107.916170947558,23.2615205954897,Red
Spanish,11419,U,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Spanish,11419,V,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Spanish,11419,W,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Spanish,11419,X,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,Y,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11419,Z,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,11442,A,89.374200210601,16.864296915198,33.661642937267,Brown
Spanish,11442,C,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Spanish,11442,D,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Spanish,11442,E,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Spanish,11442,F,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Spanish,11442,H,96.5374896142362,0,-6.9665793411004e-14,White
Spanish,11442,I,0,0,0,Black
Spanish,11442,J,0,0,0,Black
Spanish,11442,K,25.681533305254,84.2049680527698,18.1505290764431,Red
Spanish,11442,L,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Spanish,11442,M,37.6704361435912,92.1414175716915,19.8612447395218,Red
Spanish,11442,N,46.1694046045359,-44.1075271084152,56.4060339002278,Green
Spanish,11442,O,47.7849523714746,-17.8053776814676,-101.125273682917,Blue
Spanish,11442,P,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Spanish,11442,Q,39.2828741443653,107.916170947558,23.2615205954897,Red
Spanish,11442,R,39.2828741443653,107.916170947558,23.2615205954897,Red
Spanish,11442,S,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Spanish,11442,T,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Spanish,11442,U,37.6704361435912,92.1414175716915,19.8612447395218,Red
Spanish,11442,V,44.9368145274019,93.253731767522,-32.4980229151277,Pink
Spanish,11442,W,39.2828741443653,107.916170947558,23.2615205954897,Red
Spanish,11442,X,47.2433535975566,138.667884336048,19.7990197962944,Red
Spanish,11442,Z,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Spanish,12682,A,53.484183785248,175.364684555026,37.8001664225153,Red
Spanish,12682,C,36.1536771853988,-34.5390916383445,44.1696304815927,Green
Spanish,12682,E,97.149502721359,7.89814753861037,106.440984408892,Yellow
Spanish,12682,F,0,0,0,Black
